RecipeDateType,bobsRedMillwholeWheatPastryFlour,allPuroseFlour,AlmondFlour,Oatmeal,cocoaPowder,wincoWholeWheatPastryFlour,cakeFlour,bobsRedMIllPastryFlour,PeaProteinPowder,soyProteinPowder,brownRiceProteinPowder,wheyAndCaseinProteinPowder,bakingSoda,bakingPowder,cinamon,nutmeg,cardamom,xanthamGum,Salt,guarGuam,cornStarch,vanillaExtract,Almond Extract,naturesFlavorsButterExtract,espressoPowder,bobsRedMillEggReplacer,flaxMeal,water,chiaSeeds,ErythritlInWater,splendaInWater,whiteSugar,Powdered Erythritol,lightBrownSugar,darkBrownSugar,erythritol,xylitol,splendaSucralose,monkFruitAndAllulose,allulose,wincoMonkFruitAndErythritol,bulk suplements monk fruit extract,inulin,coconutOil,vegtableOil,canolaOil,earthBalanceButter,aquafabaButter,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ","Vegan Butter with AppleCider,yeast",Peanut Butter Powder,water for Peanut Butter Powder,mollasses ,Chocolate Chips,Butter,sunflower butter,peanut butter,egg,dried blueberrries
March 30 protein oatmeal #1,0,30,0,40,0,0,0,0,26,0,30,0,2-Jan,0,4-Jan,0,8-Jan,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,6,36,40,0,0,0,0,0,0,36,0,4,0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0
March 30 protein oatmeal #2,15,0,0,45,0,0,0,0,0,30,30,0,2-Jan,0,4-Jan,8-Jan,8-Jan,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,4.5,36,40,0,0,0,0,0,0,36,0,3,0,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 29 protein oatmeal,30,0,0,25,0,0,0,0,26,0,30,0,2-Jan,0,4-Jan,0,4-Jan,4-Jan,4-Jan,0,4-Jan,2-Jan,0,0,0,0,6.5,45,0,0,4.5,13,50,24,0,0,0,0,0,24,0,3,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 29 protein Sugar,0,60,15,0,0,0,0,0,15,0,30,0,2-Jan,0,0,8-Jan,0,8-Mar,4-Jan,0,2-Jan,8-May,2-Jan,0,0,0,0.12,23,0,0,6,36,40,0,0,0,0,0,0,36,0,3,0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0
March 28 Trad  Sugar ,0,30,30,0,0,0,0,0,26,0,30,0,0,8-May,0,0,0,8-Mar,8-Mar,0,0,8-May,4-Jan,0,0,10,0,30,0,0,6,24,0,0,0,0,0,0,0,36,0,0,0,0,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 28 Proetin PB ,40,0,40,0,0,0,0,0,26,0,30,0,0,2-Jan,0,0,0,8-Mar,8-Mar,0,0,2-Jan,0,0,0,10,0,30,0,0,6,0,50,24,0,0,0,0,0,36,0,0,0,0,20,0,0,0,60,0,96,90,0,0,0,0,0,0,0
March27  Protein   Sugar,0,30,30,0,0,0,0,0,26,0,30,0,0,3-Feb,0,0,0,4-Jan,8-Mar,0,0,3-Feb,14,0,0,15,0,45,0,0,4.5,24,38,0,0,0,0,0,0,12,0,0,5,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 27 protein PB,30,30,0,0,0,0,0,0,26,0,30,0,0,2-Jan,0,0,0,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,4.5,0,41,0,0,0,0,0,24,0,0,0,5,0,0,0,0,60,0,0,64,90,0,0,0,0,0,0,0
March 26 Trad  pb,0,120,0,0,0,0,0,0,0,0,0,0,0,2g,0,0,0,0,8-Jan,0,0,3-Feb,0,0,0,7,0,20,0,0,3,24,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,80,112.5,0,0,0,0,0,0,0
March 26 Proetin pb ,0,60,0,0,0,0,0,0,26,0,30,0,0,2g,0,0,0,8-Mar,8-Jan,0,0,3-Feb,0,0,0,10,0,30,0,0,4.5,0,40,66,0,0,0,0,24,0,0,0,0,0,15,0,0,50,0,0,80,112.5,0,0,0,0,0,0,0
March25trda   Sugar,0,120,0,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,8-Mar,0,0,3-Feb,4-Jan,0,0,5,0,10,0,0,3,36,40,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
March 25 protein Sugar,30,40,0,0,0,0,0,0,20,0,30,0,0,3-Feb,0,0,0,8-Mar,8-Mar,0,0,3-Feb,4-Jan,0,0,10,0,30,0,0,4.5,24,40,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 24 Trad  Sugar ,30,90,30,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,4-Jan,0,0,3-Feb,4-Jan,0,0,5,0,15,0,0,0,36,40,0,0,0,0,0,0,12,0,0,5,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
March 24 ProetinSugar ,0,0,45,0,0,0,0,0,13,0,30,0,0,3-Feb,0,0,0,4-Jan,4-Jan,0,0,3-Feb,4-Jan,0,0,0,7,45,0,0,4.8,12,0,0,0,0,0,0,24,0,0,0,5,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0
March 23 Trad  Sugar ,0,120,0,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,8-Jan,0,0,3-Feb,4-Jan,0,0,0,2.5,15,0,0,4.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0
March 23 ProetinSugar ,30,0,30,0,0,0,0,0,26,0,30,0,0,3-Feb,0,0,0,4-Jan,8-Jan,0,0,3-Feb,4-Jan,0,0,0,7,45,0,0,0,12,50,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,80,76,0,0,0,0,0,0,0,0,0
March 22 Trad  Sugar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 22 ProetinSugar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 21 Trad  Choco,60,65,0,0,30,0,0,0,0,0,0,0,2-Jan,0,4-Jan,8-Jan,0,0,8-Mar,0,2-Jan,4-Jan,0,8-Jan,4-Jan,10,0,30,0,0,0,62,0,0,0,32,0,0,12,36,0,0,5,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 21 Proetin Choco ,30,0,30,0,20,0,0,0,26,0,30,0,2-Jan,0,4-Jan,8-Jan,0,4-Jan,8-Mar,0,4-Jan,4-Jan,0,8-Jan,4-Jan,0,11,60,0,0,0,24,0,0,0,0,0,6,24,36,0,0,10,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 20 Trad   Choco,60,65,0,0,30,0,0,0,0,0,0,0,2-Jan,0,4-Jan,8-Jan,0,0,8-Mar,0,2-Jan,4-Jan,0,8-Jan,4-Jan,0,7,45,0,0,6,48,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
March 20 Proetin  Choco,60,0,0,0,20,0,0,0,26,0,30,0,2-Jan,0,4-Jan,8-Jan,0,4-Jan,8-Mar,0,4-Jan,4-Jan,0,8-Jan,4-Jan,0,11,60,0,20,0,19,0,0,0,50,0,0,0,30,0,0,10,0,15,0,0,45,0,0,0,0,0,0,0,0,0,0,0
March 19 Trad   Choco,45,60,15,0,30,0,0,0,0,0,0,0,2-Jan,0,4-Jan,8-Jan,0,0,8-Mar,0,2-Jan,4-Jan,0,4-Jan,4-Jan,0,7,45,0,20,0,49,0,0,0,30,0,4.5,0,0,0,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 19 Proetin  Choco,30,0,15,0,20,0,0,0,26,13,30,0,2-Jan,0,4-Jan,8-Jan,0,4-Jan,8-Mar,0,4-Jan,4-Jan,0,4-Jan,4-Jan,0,0,60,11,25,0,24,0,0,0,40,15,4.5,20,0,0,0,10,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 18 Trad Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 18 Protein Choco,15,0,30,0,20,0,0,0,13,15,30,0,0,0,4-Jan,0,0,4-Jan,8-Mar,0,2-Jan,4-Jan,0,4-Jan,4-Jan,0,11,30,0,20,0,12,0,0,0,50,0,4.5,30,0,0,0,10,15,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
march 17 Trad Choco,65,65,0,0,30,0,0,0,0,0,0,0,0,2-Jan,4-Feb,8-Jan,0,0,8-Mar,0,2-Jan,4-Jan,0,0,4-Jan,0,7,45,0,15,0,60,0,0,0,30,0,3,18,0,0,0,10,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 17  Protein Choco,60,0,0,0,30,0,0,0,26,30,0,0,0,8-Mar,4-Jan,8-Jan,0,4-Jan,8-Mar,0,2-Jan,4-Jan,0,0,4-Jan,0,11,60,0,30,0,30,0,0,0,40,0,4,18,0,0,0,10,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 16 Trad Choco,65,0,0,0,30,0,0,65,0,0,0,0,0,8-Mar,0,0,0,0,8-Mar,0,2-Jan,4-Mar,0,0,4-Jan,0,7,45,0,20,0,60,0,0,0,30,0,3,18,0,0,0,15,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March 16  Protein Choco,30,0,30,0,30,0,0,0,26,30,0,0,0,8-Mar,0,0,0,4-Jan,8-Mar,0,2-Jan,4-Mar,0,0,4-Jan,0,10,61,0,30,0,12,0,0,0,40,0,4,18,0,0,0,15,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 15 Traditional ChipChco,45,0,0,0,0,0,0,68,0,0,0,0,2-Jan,0,4-Jan,0,0,0,4-Jan,0,4-Mar,4-Jan,8-Jan,0,0,0,2.5,16,0,8,0,14,0,36,0,40,0,3,12,0,0,0,15,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 15 Protein ChipChco,22,0,30,0,0,0,0,0,26,30,0,0,2-Jan,0,4-Jan,0,0,4-Jan,4-Jan,0,2-Jan,4-Jan,8-Jan,0,0,0,10,60,0,30,0,0,0,0,0,40,0,3,20,0,0,0,15,30,10,5,0,0,0,0,0,0,15,0,0,0,0,0,0
march 14 Traditional ChipChco,45,0,0,0,0,0,0,68,0,0,0,0,2-Jan,0,4-Jan,0,0,0,4-Jan,0,4-Mar,4-Jan,8-Jan,0,0,0,4,22,0,10,0,14,0,36,0,40,0,2,12,0,0,0,15,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 14 Protein ChipChco,22,0,30,0,0,0,0,0,26,30,0,0,2-Jan,0,4-Jan,0,0,4-Jan,4-Jan,0,2-Jan,4-Jan,8-Jan,0,0,0,10,60,0,30,0,0,0,0,0,40,0,3,20,0,0,0,15,20,15,10,0,0,0,0,0,0,18,0,0,0,0,0,0
march 13 Traditional ChipChco,60,0,0,0,0,0,0,68,0,0,0,0,2-Jan,0,4-Jan,0,0,0,4-Jan,0,4-Mar,4-Jan,8-Jan,0,0,0,4,22,0,10,0,20,0,36,0,40,0,0,12,0,0,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 13 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,2-Jan,0,4-Jan,0,0,4-Jan,4-Jan,0,2-Jan,4-Jan,8-Jan,0,0,0,10,60,0,30,0,0,0,20,0,30,0,3,20,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
march 12 Traditional ChipChco,60,0,0,0,0,0,0,54,0,0,0,0,2-Jan,0,4-Jan,0,0,0,4-Jan,0,4-Mar,4-Jan,8-Jan,0,0,0,7,45,0,22,0,28,0,28,0,28,0,0,14,0,0,0,0,20,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0
march 12 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,2-Jan,0,4-Jan,8-Jan,0,4-Jan,4-Jan,0,2-Jan,4-Jan,8-Jan,0,0,0,9.5,60,0,30,0,0,0,28,0,50,0,0,18,0,0,0,0,45,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
march 11 Traditional ChipChco,130,0,0,0,0,0,0,0,0,0,0,0,2-Jan,0,4-Jan,0,0,0,8-Mar,0,4-Mar,4-Jan,4-Jan,0,0,0,2.5,15,0,0,0,0,0,28,0,84,0,0,24,0,0,0,0,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
march 11 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,2-Jan,0,4-Jan,0,0,4-Jan,8-Mar,0,2-Jan,4-Jan,4-Jan,0,0,0,7,45,0,0,0,0,0,28,0,84,0,0,24,0,0,0,0,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
march 9 Traditional ChipChco,120,0,0,0,0,0,0,0,0,0,0,0,2-Jan,0,8-Jan,0,0,0,8-Mar,0,4-Mar,4-Jan,0,2-Jan,0,0,7,45,0,0,0,14,0,28,0,108,0,0,24,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 9 Protein ChipChco,30,0,30,0,0,0,0,0,30,26,0,0,2-Jan,0,8-Jan,0,0,4-Jan,8-Mar,0,2-Jan,4-Jan,0,2-Jan,0,0,7,45,0,0,0,0,0,42,0,107,0,0,14,0,0,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 7 Traditional ChipChco,120,0,0,0,0,0,0,0,0,0,0,0,2-Jan,0,0,0,0,0,4-Feb,0,4-Mar,4-Jan,0,2-Jan,0,10,0,30,0,0,0,0,0,14,0,0,0,0,0,0,80,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 7 Protein ChipChco,30,0,30,0,0,0,0,0,30,26,0,0,4-Jan,0,0,0,0,4-Jan,4-Jan,0,2-Jan,4-Jan,0,2-Jan,0,20,0,60,0,0,0,0,0,28,0,0,0,0,0,0,80,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 6 Traditional ChipChco,0,0,0,0,0,130,0,0,0,0,0,0,2-Jan,0,0,0,0,0,4-Jan,0,4-Mar,4-Jan,0,0,0,10,0,30,0,0,0,0,0,28,0,0,0,0,0,0,80,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 6 Protein ChipChco,0,0,0,0,0,90,0,0,30,0,0,0,2-Jan,0,0,0,0,4-Jan,4-Jan,0,2-Jan,4-Jan,0,0,0,10,0,30,0,0,0,0,0,28,0,0,0,0,0,0,80,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 5 Traditional ChipChco,0,0,0,0,0,90,0,0,26,0,0,0,2-Jan,0,0,0,0,4-Jan,8-Jan,0,0,4-Jan,0,0,0,4,0,15,0,0,0,0,0,30,0,0,0,0,0,0,80,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 5 Protein ChipChco,0,0,0,0,0,60,0,0,26,30,0,0,2-Jan,0,0,0,0,4-Jan,8-Jan,0,0,4-Jan,0,0,0,4,0,15,0,0,0,0,0,30,0,0,0,0,0,0,80,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
march 4 Protein cookie,0,0,31,0,0,30,0,0,26,30,0,0,2-Jan,0,0,0,0,4-Jan,8-Jan,0,2-Jan,4-Jan,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,16,28,0,0,0,0,0,0,0,10,0,0,0,0,0,0
march 2 Traditional ChipChco,0,0,0,0,0,120,0,0,0,0,0,0,2-Jan,0,0,0,0,0,8-Jan,0,2-Jan,4-Jan,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,56,0,0,0,0,0,18,0,0,0,0,0,0
march 2 Protein ChipChco,0,0,0,0,0,60,0,0,26,30,0,0,2-Jan,0,0,0,0,0,8-Jan,0,2-Jan,4-Jan,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,56,0,0,0,0,0,18,0,0,0,0,0,0
march 1 protein,45,0,30,0,0,0,0,0,0,30,0,0,2-Jan,0,0,0,0,8-Jan,8-Jan,0,2-Jan,4-Jan,0,0,0,44,13,14,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,28,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0
february 29 traditional,0,0,0,0,0,0,114,0,0,0,0,0,2-Jan,0,0,0,0,8-Jan,4-Jan,0,2-Jan,4-Jan,0,0,0,4,0,14,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2024 0:00,0,0,38,0,0,38,0,0,0,30,0,0,2-Jan,0,4-Jan,0,0,0,4-Jan,0,2,4-Jan,0,0,0,7,13,29,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,28,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2024 0:00,0,0,0,0,0,0,114,0,0,0,0,0,4-Jan,0,0,0,0,8-Jan,8-Jan,0,2-Jan,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,28,25,0,0,0,0,0,0,0,0,1/4 cup,0,0,0,0,0
2/27/2024 0:00,0,0,1/3 cup,0,0,0,0,0,0,2 TB,0,1/3 cup,2-Jan,0,0,0,0,8-Jan,4-Jan,0,1,0,0,0,0,0,1/4 cup,45,0,0,0,0,0,0,2 TB,1/3 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 TB ,0,0,0,0
Feburary 25 traditional ,0,180,0,0,0,0,0,0,0,0,0,0,4-Mar,0,0,0,0,0,2-Jan,2-Jan,0,4-Mar,2-Jan,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0
Feburary 25 traditional ,0,180,0,0,0,0,0,0,0,0,0,0,4-Mar,0,0,0,0,4-Jan,2-Jan,0,0,4-Mar,2-Jan,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0
Feburary 25 traditional ,0,180,0,0,0,0,0,0,0,0,0,0,4-Mar,0,0,0,0,0,2-Jan,0,0,4-Mar,2-Jan,0,0,0,4,23,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0
febraury 24,0,1/2 cup,0,0,0,0,0,0,0,0,0,0,4-Jan,0,0,8-Jan,0,0,8-Jan,4-Jan,0,4-Mar,4-Mar,0,0,0,0,0,0,0,0,12 Tb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 TB,0,0,0,0,0,0,0,0,0,0,0,0
febraury 24,0,1/2 cup,0,0,0,0,0,0,0,0,0,0,4-Jan,0,0,8-Jan,0,4-Jan,8-Jan,0,0,4-Mar,4-Mar,0,0,0,0,0,0,0,0,12 Tb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 TB,0,0,0,0,0,0,0,0,0,0,0,0
febraury 24,0,1/2 cup,0,0,0,0,0,0,0,0,0,0,4-Jan,0,0,8-Jan,0,0,8-Jan,0,0,4-Mar,4-Mar,0,0,0,4,23,0,0,0,12 Tb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 TB,0,0,0,0,0,0,0,0,0,0,0,0
febrary 22,0,0,0,0,0,0,0,0,0,0,0,2/3 cup,0,0,0,0,0,0,4-Jan,1,0,4-Mar,0,0,0,0,0,0,0,0,0,2 TB,0,0,0,1/2 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 TB,0,0,0
2/21/2024 0:00,0,0,1/3 cup,0,0,0,0,0,0,0,0,1/3 cup,0,0,0,0,0,0,4-Jan,0,0,2-Jan,0,0,0,0,1/3 cup,4 TB,0,0,0,2 TB,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,3 TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2024 0:00,0,0,1/4 cup,0,0,1/4 cup,0,0,0,0,0,1/4 cup,4-Jan,0,0,0,0,0,4-Jan,0,0,2-Jan,0,0,0,0,0.25,3 TB,0,0,0,2 TB,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2024 0:00,0,0,0,0,1/4 cup,0,0,0,0,0,0,1/2 cup,0,0,8-Jan,0,0,0,4-Jan,0,0,2-Jan,0,0,4-Jan,0,1/2 cup,5 TB,0,0,0,4 teaspoons,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 TB,0,2 TB,0,0
feburuary 17th,0,2 TB,6 TB,0,0,0,0,0,0,0,0,1/2cup,2-Jan,0,2-Jan,0,0,0,4-Jan,0,0,2-Jan,0,0,0,0,1 TB,3 TB,0,0,0,0,0,0,2 TB,1/4 cup,0,0,0,0,0,0,0,0,3 TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feburuary 16th,0,0,0,0,1/4 cup,0,0,0,0,0,0,1/2 cup,0,0,8-Jan,0,0,0,4-Jan,0,0,2-Jan,0,0,4-Jan,0,1/2 cup,5 TB,0,0,0,2 TB,0,0,0,75g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 TB ,0,0,0,0
feburuary 15th,0,0,0,0,1/4 cup,2 TB,0,0,0,0,0,1/4 cup,4-Jan,0,0,0,0,0,4-Jan,0,0,2-Jan,0,0,4-Jan,0,1/3 cup,3 TB,0,0,0,2 TB,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,4 TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feburuary 14th,0,0,4TB,0,0,6 TB,0,0,0,0,0,6 TB,2-Jan,0,0,0,0,0,4-Jan,0,0,2-Jan,0,0,0,0,0,0,0,0,0,3 TB,0,0,0,1/4 CUp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 4 TB,0,0,1,0
feburuary 13th,0,0,1/2 cup,0,0,0,0,0,0,0,0,1/2 cup,1/2 tsp,0,1/2 tsp,0,0,0,4-Jan,0,0,1,0,0,0,0,1 TB,3 TB,0,0,0,2 TB,0,0,0,1/4 cup,0,0,0,0,0,0,0,0,2 TB,0,0,0,0,0,0,0,0,1/2 cup,0,0,0,0,0
feburuary 12th,0,0,1/4 cup,0,0,1/4 cup,0,0,0,0,0,1/2 cup,0,4-Jan,0,0,0,0,4-Feb,0,0,2-Jan,0,0,0,0,1 TB,3 TB,0,0,0,0,0,1/4 cup,0,1/4 cup,0,0,0,0,0,0,0,0,3/8 cup,0,0,0,0,0,0,0,0,1/3 cup,0,0,0,0,1/3 cup
feburuary 11th,0,0,0,0,0,2 TB,0,0,0,0,0,6 TB,0,0,0,0,0,0,4-Jan,0,0,2-Jan,0,0,0,0,1/2 cup,7 TB,0,0,0,2 TB,0,0,0,1/3 cup,0,0,0,0,0,0,0,0,2 TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
