ingredients,Serving Size (cups),Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
bobsRedMillwholeWheatPastryFlour,0.25,1,0.016666667,0,0,0,0,0,0,0.766666667,0.1,0,0,0.133333333,0,0.233333333,0.033333333,3.7,0,0,0,0,0
allPuroseFlour,0.25,1,0,0,0,0,0,0,0,0.766666667,0.033333333,0,0,0.1,0,0,0.05,0.003333333,0.006666667,0.06,3,0,0
AlmondFlour,0.25,1,0.5,0.05,0,0,0,0,0,0.2,0.1,0.033333333,0,0.233333333,0,2,0.033333333,6.666666667,0,0,0,0,0
Quaker Oats,0.5,1,0.075,0.0125,0,0.025,0.025,0,0,0.675,0.1,0.025,0,0.125,0,0.5,0.0375,3.75,0.005,0,0,3.25,1
cocoaPowder,0.0625,1,0.1,0,0,0,0,0,0,0.6,0.4,0,0,0.2,0,2,0.36,56.4,0,0,0,0,0
wincoWholeWheatPastryFlour,0.25,1,0,0,0,0,0,0,0,0.766666667,0.133333333,0,0,0.1,0,0,0.024,0,0,0,0,0,0
cakeFlour,0.25,1,0,0,0,0,0,0,0,0.785714286,0,0,0,0.071428571,0,0,0.046428571,1.071428571,0.008928571,0.067857143,2.857142857,0,0
bobsRedMIllPastryFlour,0.25,1,0.014705882,0,0,0,0,0,0,0.764705882,0.029411765,0,0,0.088235294,0,0.176470588,0.058823529,1.705882353,0.005882353,0.029411765,3.735294118,0,0
PeaProteinPowder,0,1,0.134615385,0.038461538,0,0,0,0,7.307692308,0,0,0,0,0.769230769,0,1.846153846,0.269230769,0.192307692,0,0,0,0,0
soyProteinPowder Isolate,0.25,1,0,0,0,0,0,0,7.333333333,0,0,0,0,0.9,0,0,0.076666667,0.833333333,0,0,0,0,0
brownRiceProteinPowder,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.4,0.06,0,0,0,0,0,0
wheyAndCaseinProteinPowder,0,1,0.033898305,0.016949153,0,0,0,1.016949153,7.796610169,0.06779661,0,0.033898305,0,0.779661017,0,0.203389831,0,9.152542373,0,0,0,0,0
bakingSoda(teaspoons),1,0.6,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakingPowder(teaspoons),1,0.6,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinamon(teaspoons),1,7.8,0.22,0,0,0.03,0.04,0,1.77,5.43,3.69,0.15,0,0.26,0,83.5,2.59,34,0.01,0.09,1.97,4.15,3.81
nutmeg(teaspoons),1,7,2.5,1.8,0,0,0,0,1,3.5,1.5,2,0,0.4,0,10,0.18,0,0,0,0,0,12.6
cardamom(teaspoons),1,5.8,0.4,0,0,0,0,0,1,4,1.6,0,0,0.6,0,20,0.72,0,0,0,0,0,12.6
xanthamGum(teaspoons),1,9,0,0,0,0,0,0,260,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Salt(teaspoons),1,6,0,0,0,0,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guarGuam(teaspoons),1,10,0.5,0,0,0,0,0,0,7,9,0,0,0,0,27,0,560,0,0,0,0,0
cornStarch(teaspoons),1,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
vanillaExtract(teaspoons),1,0.020833333,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Almond Extract(teaspoons),1,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naturesFlavorsButterExtract(teaspoons),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espressoPowder(teaspoons),1,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
bobsRedMillEggReplacer,0.0625,1,0,0,0,0,0,0,32,0.7,0.1,0,0,0,0,0.3,0,1.5,0,0,0,0,0
flaxMeal,0.125,1,0.269230769,0,0,0.076923077,0.192307692,0,0,0.384615385,0.230769231,0,0,0.230769231,0,1.538461538,0.076923077,8.307692308,0,0,0,0,0
water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiaSeeds,0.125,1,0.269230769,0.019230769,0,0.019230769,0.230769231,0,0,0.384615385,0.384615385,0,0,0.230769231,0,5.076923077,0.076923077,7.615384615,0,0,0,0,0
ErythritlInWater,0.03125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
splendaInWater,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiteSugar,0.041666667,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Powdered Erythritol,0.03125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightBrownSugar,0.041666667,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
darkBrownSugar,0.041666667,1,0,0,0,0,0,0,0.283333333,0.966666667,0,0.966666667,0.966666667,0,0,0.833333333,0,0,0,0,0,0,0
erythritol,0.03125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xylitol,0.041666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
splendaSucralose,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monkFruitAndAllulose,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
allulose,2,1,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0
wincoMonkFruitAndErythritol,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bulk suplements monk fruit extract,0.015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inulin,0.0625,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
coconutOil,0.0625,1,1,0.928571429,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegtableOil,0.0625,1,1,0.142857143,0,0.214285714,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canolaOil,1,1,1,0.071428571,0,0.571428571,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earthBalanceButter,0.0625,1,0.818181818,0.227272727,0,0.272727273,0.272727273,0,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquafabaButter,0.0625,1,0.958345548,0.809621476,0.100939353,0.92688699,0.865133896,0.100939353,0.077191368,0.015438274,0.108658489,0.100939353,0.100939353,0.02315741,6.214495697,6.214495697,6.216811437,7.063600745,6.238425021,6.349580591,9.302150416,6.97869024,6.97869024
"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ",0.0625,1,0.958345548,0.809621476,0.100939353,0.92688699,0.865133896,0.100939353,0.077191368,0.015438274,0.108658489,0.100939353,0.100939353,0.02315741,6.214495697,6.214495697,6.216811437,7.063600745,6.238425021,6.349580591,9.302150416,6.97869024,6.97869024
"Vegan Butter with AppleCider,yeast",0.0625,1,0.958345548,0.809621476,0.100939353,0.92688699,0.865133896,0.100939353,0.077191368,0.015438274,0.108658489,0.100939353,0.100939353,0.02315741,6.214495697,6.214495697,6.216811437,7.063600745,6.238425021,6.349580591,9.302150416,6.97869024,6.97869024
Peanut Butter Powder,0.125,1,0.125,0,0,0,0,0,5.9375,0.375,0.125,0.1875,0.125,0.5,0,1.25,0.0225,11.75,0,0,0,0,0
water for Peanut Butter Powder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mollasses ,0.0625,1,0,0,0,0,0,0,0.357142857,1.142857143,0.071428571,1.071428571,0,0,0,2.142857143,0.05,14.28571429,0,0,0,0,0.714285714
Chocolate Chips,0,1,0.3,0.166666667,0,0,0,0,0,0.666666667,0,0.533333333,0.533333333,0,0,0.4,0.066666667,3.4,0,0,0,0,0
Butter,0.0625,1,0.857142857,0.5,0,0,0,2.142857143,0,0,0,0,0,0,0,0.214285714,0,0.214285714,0,0,0,0,0
sunflower butter,0.125,1,0.5625,0.0625,0,0,0,0,3.4375,0.125,0.0625,0,0,0.25,0,0.625,0.05625,7.34375,0,0,0,0,0
peanut butter,0.125,1,0.5,0.09375,0,0,0,0,3.28125,0.21875,0.09375,0.0625,0,0.25,0,0.5625,0.03125,6.28125,0,0,0,0,0
egg,0.0625,1,0.105882353,0.035294118,0,0,0,3.764705882,1.294117647,0.011764706,0,0,0,0.129411765,0.017647059,0,0,1.294117647,0,0,0,0,0
dried blueberrries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rapseed oil1,0.422675,1,0.968421053,0.070526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutrional yeast,0.0625,1,0,0,0,0,0,0,2,0.4,0.2,0,0,0.6,0,0,0.06,22,0.62,3.5,80,0,0
rapseed oil balance,0.422675,1,0.968421053,0.070526316,1.042105263,1.042105263,1.042105263,1.042105263,0,0,1.042105263,1.042105263,1.042105263,0,1.042105263,1.042105263,1.042105263,1.042105263,1.042105263,1.042105263,1.042105263,1.042105263,1.042105263
bobsRedMillWholeWheat ,0.25,1,0.013157895,0,0,0,0,0,0,0.710526316,0.131578947,0,0,0.157894737,0,0.421052632,0,3.868421053,0,0,0,0,0
