,Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
bobsRedMillwholeWheatPastryFlour,1.0,0.016666667,0.0,0.0,0.0,0.0,0.0,0.0,0.766666667,0.1,0.0,0.0,0.133333333,0.0,0.233333333,0.033333333,3.7,0.0,0.0,0.0,0.0,0.0
allPuroseFlour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766666667,0.033333333,0.0,0.0,0.1,0.0,0.0,0.05,0.003333333,0.006666667,0.06,3.0,0.0,0.0
AlmondFlour,1.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.033333333,0.0,0.233333333,0.0,2.0,0.033333333,6.666666667,0.0,0.0,0.0,0.0,0.0
Oatmeal,1.0,0.075,0.0125,0.0,0.025,0.025,0.0,0.0,0.675,0.1,0.025,0.0,0.125,0.0,0.5,0.0375,3.75,0.005,0.0,0.0,3.25,1.0
cocoaPowder,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.2,0.0,2.0,0.36,56.4,0.0,0.0,0.0,0.0,0.0
wincoWholeWheatPastryFlour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766666667,0.133333333,0.0,0.0,0.1,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0
cakeFlour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785714286,0.0,0.0,0.0,0.071428571,0.0,0.0,0.046428571,1.071428571,0.008928571,0.067857143,2.857142857,0.0,0.0
bobsRedMIllPastryFlour,1.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.764705882,0.029411765,0.0,0.0,0.088235294,0.0,0.176470588,0.058823529,1.705882353,0.005882353,0.029411765,3.735294118,0.0,0.0
PeaProteinPowder,1.0,0.134615385,0.038461538,0.0,0.0,0.0,0.0,7.307692308,0.0,0.0,0.0,0.0,0.769230769,0.0,1.846153846,0.269230769,0.192307692,0.0,0.0,0.0,0.0,0.0
soyProteinPowder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.076666667,0.833333333,0.0,0.0,0.0,0.0,0.0
brownRiceProteinPowder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.06,0.0,0.0,0.0,0.0,0.0,0.0
wheyAndCaseinProteinPowder,1.0,0.033898305,0.016949153,0.0,0.0,0.0,1.016949153,7.796610169,0.06779661,0.0,0.033898305,0.0,0.779661017,0.0,0.203389831,0.0,9.152542373,0.0,0.0,0.0,0.0,0.0
bakingSoda(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bakingPowder(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinamon(teaspoons),1.0,0.07333333333333333,0.0,0.0,0.01,0.013333333333333334,0.0,0.59,1.8099999999999998,1.23,0.049999999999999996,0.0,0.08666666666666667,0.0,27.833333333333332,0.8633333333333333,11.333333333333334,0.0033333333333333335,0.03,0.6566666666666666,1.3833333333333335,1.27
nutmeg(teaspoons),1.0,0.8333333333333334,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,1.1666666666666667,0.5,0.6666666666666666,0.0,0.13333333333333333,0.0,3.3333333333333335,0.06,0.0,0.0,0.0,0.0,0.0,4.2
cardamom(teaspoons),1.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.5333333333333333,0.0,0.0,0.19999999999999998,0.0,6.666666666666667,0.24,0.0,0.0,0.0,0.0,0.0,4.2
xanthamGum(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.88888888888889,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salt(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guarGuam(teaspoons),1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.33,0.0,0.0,0.0,0.0,9.0,0.0,186.66666666666666,0.0,0.0,0.0,0.0,0.0
cornStarch(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanillaExtract(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almond Extract(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naturesFlavorsButterExtract(teaspoons),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
espressoPowder(teaspoons),1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bobsRedMillEggReplacer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.7,0.1,0.0,0.0,0.0,0.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0
flaxMeal,1.0,0.269230769,0.0,0.0,0.076923077,0.192307692,0.0,0.0,0.384615385,0.230769231,0.0,0.0,0.230769231,0.0,1.538461538,0.076923077,8.307692308,0.0,0.0,0.0,0.0,0.0
water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiaSeeds,1.0,0.269230769,0.019230769,0.0,0.019230769,0.230769231,0.0,0.0,0.384615385,0.384615385,0.0,0.0,0.230769231,0.0,5.076923077,0.076923077,7.615384615,0.0,0.0,0.0,0.0,0.0
ErythritlInWater,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splendaInWater,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiteSugar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powdered Erythritol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightBrownSugar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darkBrownSugar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283333333,0.966666667,0.0,0.966666667,0.966666667,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erythritol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xylitol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splendaSucralose,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkFruitAndAllulose,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allulose,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wincoMonkFruitAndErythritol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulk suplements monk fruit extract,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inulin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
coconutOil,1.0,1.0,0.928571429,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegtableOil,1.0,1.0,0.142857143,0.0,0.214285714,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canolaOil,1.0,1.0,0.071428571,0.0,0.571428571,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earthBalanceButter,1.0,0.818181818,0.227272727,0.0,0.272727273,0.272727273,0.0,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aquafabaButter,1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ",1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vegan Butter with AppleCider,yeast",1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peanut Butter Powder,1.0,0.125,0.0,0.0,0.0,0.0,0.0,5.9375,0.375,0.125,0.1875,0.125,0.5,0.0,1.25,0.0225,11.75,0.0,0.0,0.0,0.0,0.0
water for Peanut Butter Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mollasses ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857,1.142857143,0.071428571,1.071428571,0.0,0.0,0.0,2.142857143,0.05,14.28571429,0.0,0.0,0.0,0.0,0.714285714
Chocolate Chips,1.0,0.3,0.166666667,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.533333333,0.533333333,0.0,0.0,0.4,0.066666667,3.4,0.0,0.0,0.0,0.0,0.0
Butter,1.0,0.857142857,0.5,0.0,0.0,0.0,2.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214285714,0.0,0.214285714,0.0,0.0,0.0,0.0,0.0
sunflower butter,1.0,0.5625,0.0625,0.0,0.0,0.0,0.0,3.4375,0.125,0.0625,0.0,0.0,0.25,0.0,0.625,0.05625,7.34375,0.0,0.0,0.0,0.0,0.0
peanut butter,1.0,0.5,0.09375,0.0,0.0,0.0,0.0,3.28125,0.21875,0.09375,0.0625,0.0,0.25,0.0,0.5625,0.03125,6.28125,0.0,0.0,0.0,0.0,0.0
egg,1.0,0.105882353,0.035294118,0.0,0.0,0.0,3.764705882,1.294117647,0.011764706,0.0,0.0,0.0,0.129411765,0.017647059,0.0,0.0,1.294117647,0.0,0.0,0.0,0.0,0.0
dried blueberrries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
